# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 20000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.00,0,3.12554e-17
1.00,0,8.39780e-18
2.00,0,8.90727e-18
3.00,0,9.50032e-18
4.00,0,9.41599e-18
5.00,0,9.62052e-18
6.00,0,9.87177e-18
7.00,0,9.95040e-18
8.00,0,1.01055e-17
9.00,0,1.02831e-17
10.00,0,1.04052e-17
11.00,0,1.04864e-17
12.00,0,1.05780e-17
13.00,0,1.06839e-17
14.00,0,1.06788e-17
15.00,0,1.06801e-17
16.00,0,1.06551e-17
17.00,0,1.06824e-17
18.00,0,1.06798e-17
19.00,0,1.06969e-17
20.00,0,1.06939e-17
21.00,0,1.07073e-17
22.00,0,1.07195e-17
23.00,0,1.07321e-17
24.00,0,1.07559e-17
25.00,0,1.07567e-17
26.00,0,1.07725e-17
27.00,0,1.07686e-17
28.00,0,1.07764e-17
29.00,0,1.07744e-17
30.00,0,1.07917e-17
31.00,0,1.07964e-17
32.00,0,1.07995e-17
33.00,0,1.07992e-17
34.00,0,1.08030e-17
35.00,0,1.08062e-17
36.00,0,1.08009e-17
37.00,0,1.08007e-17
38.00,0,1.08025e-17
39.00,0,1.08058e-17
40.00,0,1.08318e-17
41.00,0,1.08793e-17
42.00,0,1.09013e-17
43.00,0,1.09037e-17
44.00,0,1.08953e-17
45.00,0,1.08812e-17
46.00,0,1.08777e-17
47.00,0,1.08736e-17
48.00,0,1.08621e-17
49.00,0,1.08683e-17
50.00,0,1.08537e-17
51.00,0,1.08252e-17
52.00,0,1.08079e-17
53.00,0,1.08024e-17
54.00,0,1.08076e-17
55.00,0,1.09117e-17
56.00,0,1.96821e-17
57.00,0,1.16712e-17
58.00,0,8.63980e-18
59.00,0,7.56379e-18
60.00,0,7.46948e-18
61.00,0,7.56264e-18
62.00,0,7.74954e-18
63.00,0,7.88714e-18
64.00,0,8.02666e-18
65.00,0,8.17155e-18
66.00,0,8.35759e-18
67.00,0,8.62220e-18
68.00,0,8.76992e-18
69.00,0,8.78986e-18
70.00,0,8.69079e-18
71.00,0,8.42294e-18
72.00,0,8.21806e-18
73.00,0,8.04503e-18
74.00,0,7.99510e-18
75.00,0,8.05182e-18
76.00,0,8.20665e-18
77.00,0,8.45528e-18
78.00,0,8.46518e-18
79.00,0,8.42550e-18
80.00,0,8.33612e-18
81.00,0,9.11533e-18
82.00,0,1.24197e-17
83.00,0,7.40185e-18
84.00,0,5.61607e-18
85.00,0,5.17070e-18
86.00,0,8.78106e-18
87.00,0,1.35865e-17
88.00,0,9.43519e-18
89.00,0,1.09870e-17
90.00,0,1.30988e-17
91.00,0,1.33296e-17
92.00,0,1.62971e-17
93.00,0,1.44881e-17
94.00,0,1.81233e-17
95.00,0,1.74076e-17
96.00,0,1.66289e-17
97.00,0,1.85253e-17
98.00,0,1.83283e-17
99.00,0,1.72047e-17
100.00,0,1.88524e-17
101.00,0,1.87679e-17
102.00,0,1.84917e-17
103.00,0,1.74023e-17
104.00,0,1.78152e-17
105.00,0,1.77516e-17
106.00,0,1.82033e-17
107.00,0,1.81080e-17
108.00,0,1.89223e-17
109.00,0,1.88817e-17
110.00,0,1.90861e-17
111.00,0,1.87699e-17
112.00,0,1.93289e-17
113.00,0,1.92095e-17
114.00,0,1.85939e-17
115.00,0,1.83361e-17
116.00,0,1.83577e-17
117.00,0,1.80626e-17
118.00,0,1.90814e-17
119.00,0,1.82888e-17
120.00,0,1.88324e-17
121.00,0,1.83110e-17
122.00,0,1.80571e-17
123.00,0,1.91689e-17
124.00,0,1.89898e-17
125.00,0,1.87853e-17
126.00,0,1.89637e-17
127.00,0,1.87035e-17
128.00,0,1.80298e-17
129.00,0,1.82162e-17
130.00,0,1.81252e-17
131.00,0,1.81460e-17
132.00,0,1.79475e-17
133.00,0,1.81262e-17
134.00,0,1.83767e-17
135.00,0,1.78945e-17
136.00,0,1.79101e-17
137.00,0,1.87912e-17
138.00,0,1.82037e-17
139.00,0,1.84640e-17
140.00,0,1.78471e-17
141.00,0,1.84233e-17
142.00,0,1.82333e-17
143.00,0,1.79791e-17
144.00,0,1.77887e-17
145.00,0,1.82570e-17
146.00,0,1.79842e-17
147.00,0,1.81989e-17
148.00,0,1.84972e-17
149.00,0,1.77663e-17
150.00,0,1.78946e-17
151.00,0,1.80342e-17
152.00,0,1.78087e-17
153.00,0,1.75191e-17
154.00,0,1.76960e-17
155.00,0,1.86981e-17
156.00,0,1.76895e-17
157.00,0,1.82973e-17
158.00,0,1.77160e-17
159.00,0,1.79657e-17
160.00,0,1.77614e-17
161.00,0,1.80385e-17
162.00,0,1.78146e-17
163.00,0,1.83097e-17
164.00,0,1.79986e-17
165.00,0,1.76070e-17
166.00,0,1.81908e-17
167.00,0,1.86571e-17
168.00,0,1.81079e-17
169.00,0,1.72881e-17
170.00,0,1.72588e-17
171.00,0,1.75188e-17
172.00,0,1.77891e-17
173.00,0,1.81754e-17
174.00,0,1.77021e-17
175.00,0,1.75886e-17
176.00,0,1.78036e-17
177.00,0,1.82687e-17
178.00,0,1.84672e-17
179.00,0,1.79101e-17
180.00,0,1.80160e-17
181.00,0,1.78524e-17
182.00,0,1.69796e-17
183.00,0,1.75466e-17
184.00,0,1.80633e-17
185.00,0,1.83561e-17
186.00,0,1.73312e-17
187.00,0,1.73203e-17
188.00,0,1.69343e-17
189.00,0,1.72768e-17
190.00,0,1.77508e-17
191.00,0,1.68067e-17
192.00,0,1.70612e-17
193.00,0,1.75010e-17
194.00,0,1.73091e-17
195.00,0,1.78096e-17
196.00,0,1.77636e-17
197.00,0,1.75928e-17
198.00,0,1.78577e-17
199.00,0,1.79482e-17
200.00,0,1.81710e-17
