# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 50000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.00,0,3.12554e-17
1.00,0,8.39779e-18
2.00,0,8.90691e-18
3.00,0,9.50070e-18
4.00,0,9.41170e-18
5.00,0,9.60265e-18
6.00,0,9.90050e-18
7.00,0,1.00867e-17
8.00,0,1.03242e-17
9.00,0,1.04280e-17
10.00,0,1.05172e-17
11.00,0,1.05773e-17
12.00,0,1.05669e-17
13.00,0,1.06064e-17
14.00,0,1.06871e-17
15.00,0,1.07578e-17
16.00,0,1.07522e-17
17.00,0,1.07490e-17
18.00,0,1.07864e-17
19.00,0,1.07961e-17
20.00,0,1.08043e-17
21.00,0,1.08153e-17
22.00,0,1.08218e-17
23.00,0,1.08332e-17
24.00,0,1.08583e-17
25.00,0,1.09005e-17
26.00,0,1.09227e-17
27.00,0,1.09629e-17
28.00,0,1.09821e-17
29.00,0,1.09728e-17
30.00,0,1.09745e-17
31.00,0,1.09649e-17
32.00,0,1.09598e-17
33.00,0,1.09408e-17
34.00,0,1.09254e-17
35.00,0,1.09259e-17
36.00,0,1.08992e-17
37.00,0,1.08818e-17
38.00,0,1.08689e-17
39.00,0,1.08198e-17
40.00,0,1.08173e-17
41.00,0,1.08121e-17
42.00,0,1.08041e-17
43.00,0,1.07894e-17
44.00,0,1.07657e-17
45.00,0,1.07591e-17
46.00,0,1.07595e-17
47.00,0,1.07447e-17
48.00,0,1.07428e-17
49.00,0,1.07320e-17
50.00,0,1.07240e-17
51.00,0,1.07283e-17
52.00,0,1.07244e-17
53.00,0,1.07415e-17
54.00,0,1.08838e-17
55.00,0,2.44490e-17
56.00,0,8.05638e-18
57.00,0,4.22340e-18
58.00,0,3.28631e-18
59.00,0,3.06712e-18
60.00,0,3.03653e-18
61.00,0,3.08407e-18
62.00,0,3.17136e-18
63.00,0,3.29146e-18
64.00,0,3.34721e-18
65.00,0,3.41268e-18
66.00,0,3.49085e-18
67.00,0,3.61524e-18
68.00,0,3.73870e-18
69.00,0,3.88726e-18
70.00,0,3.96506e-18
71.00,0,3.94169e-18
72.00,0,3.80021e-18
73.00,0,3.66473e-18
74.00,0,5.53817e-18
75.00,0,1.56102e-17
76.00,0,1.88796e-17
77.00,0,1.29969e-17
78.00,0,1.04602e-17
79.00,0,1.02388e-17
80.00,0,1.12956e-17
81.00,0,1.15739e-17
82.00,0,1.31641e-17
83.00,0,1.36865e-17
84.00,0,1.53242e-17
85.00,0,1.49909e-17
86.00,0,1.54346e-17
87.00,0,1.53286e-17
88.00,0,1.66752e-17
89.00,0,1.55780e-17
90.00,0,1.60591e-17
91.00,0,1.61426e-17
92.00,0,1.67616e-17
93.00,0,1.70406e-17
94.00,0,1.65895e-17
95.00,0,1.68116e-17
96.00,0,1.77575e-17
97.00,0,1.69295e-17
98.00,0,1.69766e-17
99.00,0,1.78983e-17
100.00,0,1.74394e-17
101.00,0,1.65701e-17
102.00,0,1.73809e-17
103.00,0,1.72806e-17
104.00,0,1.73278e-17
105.00,0,1.78361e-17
106.00,0,1.78021e-17
107.00,0,1.76044e-17
108.00,0,1.72496e-17
109.00,0,1.73590e-17
110.00,0,1.76303e-17
111.00,0,1.80594e-17
112.00,0,1.82475e-17
113.00,0,1.82423e-17
114.00,0,1.77293e-17
115.00,0,1.89455e-17
116.00,0,1.83455e-17
117.00,0,1.80121e-17
118.00,0,1.77588e-17
119.00,0,1.79983e-17
120.00,0,1.77202e-17
121.00,0,1.86603e-17
122.00,0,1.88591e-17
123.00,0,1.85980e-17
124.00,0,1.83058e-17
125.00,0,1.81183e-17
126.00,0,1.83076e-17
127.00,0,1.84933e-17
128.00,0,1.79685e-17
129.00,0,1.84631e-17
130.00,0,1.87724e-17
131.00,0,1.81402e-17
132.00,0,1.93435e-17
133.00,0,1.84196e-17
134.00,0,1.81273e-17
135.00,0,1.82490e-17
136.00,0,1.85021e-17
137.00,0,1.90287e-17
138.00,0,1.85557e-17
139.00,0,1.83872e-17
140.00,0,1.87190e-17
141.00,0,1.86017e-17
142.00,0,1.80006e-17
143.00,0,1.87572e-17
144.00,0,1.83102e-17
145.00,0,1.80424e-17
146.00,0,1.85510e-17
147.00,0,1.82299e-17
148.00,0,1.86712e-17
149.00,0,1.83800e-17
150.00,0,1.94173e-17
151.00,0,1.87317e-17
152.00,0,1.89010e-17
153.00,0,1.88903e-17
154.00,0,1.82390e-17
155.00,0,1.82925e-17
156.00,0,1.82594e-17
157.00,0,1.92414e-17
158.00,0,1.90686e-17
159.00,0,1.85342e-17
160.00,0,1.91105e-17
161.00,0,1.88431e-17
162.00,0,1.89525e-17
163.00,0,1.90011e-17
164.00,0,1.87673e-17
165.00,0,1.89738e-17
166.00,0,1.83919e-17
167.00,0,1.87445e-17
168.00,0,1.90545e-17
169.00,0,1.85561e-17
170.00,0,1.90498e-17
171.00,0,1.87363e-17
172.00,0,1.86806e-17
173.00,0,1.90035e-17
174.00,0,1.86045e-17
175.00,0,1.88837e-17
176.00,0,1.87245e-17
177.00,0,1.88991e-17
178.00,0,1.86174e-17
179.00,0,1.86752e-17
180.00,0,1.84055e-17
181.00,0,1.91437e-17
182.00,0,1.88723e-17
183.00,0,1.86587e-17
184.00,0,1.89840e-17
185.00,0,1.79930e-17
186.00,0,1.85555e-17
187.00,0,1.86328e-17
188.00,0,1.84648e-17
189.00,0,1.81072e-17
190.00,0,1.85035e-17
191.00,0,1.83588e-17
192.00,0,1.79881e-17
193.00,0,1.80444e-17
194.00,0,1.86296e-17
195.00,0,1.79247e-17
196.00,0,1.82513e-17
197.00,0,1.83441e-17
198.00,0,1.86061e-17
199.00,0,1.82809e-17
200.00,0,1.83470e-17
