# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 50000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.00,0,3.12554e-17
1.00,0,8.39779e-18
2.00,0,8.90690e-18
3.00,0,9.50070e-18
4.00,0,9.41153e-18
5.00,0,9.60213e-18
6.00,0,9.90087e-18
7.00,0,1.01020e-17
8.00,0,1.03419e-17
9.00,0,1.04604e-17
10.00,0,1.05955e-17
11.00,0,1.07193e-17
12.00,0,1.07296e-17
13.00,0,1.07386e-17
14.00,0,1.07783e-17
15.00,0,1.07339e-17
16.00,0,1.07203e-17
17.00,0,1.07063e-17
18.00,0,1.06677e-17
19.00,0,1.06503e-17
20.00,0,1.06592e-17
21.00,0,1.06972e-17
22.00,0,1.07632e-17
23.00,0,1.07865e-17
24.00,0,1.07844e-17
25.00,0,1.08085e-17
26.00,0,1.08155e-17
27.00,0,1.08111e-17
28.00,0,1.07723e-17
29.00,0,1.07521e-17
30.00,0,1.07433e-17
31.00,0,1.07480e-17
32.00,0,1.07615e-17
33.00,0,1.07772e-17
34.00,0,1.07936e-17
35.00,0,1.07886e-17
36.00,0,1.07822e-17
37.00,0,1.07921e-17
38.00,0,1.08035e-17
39.00,0,1.08145e-17
40.00,0,1.08176e-17
41.00,0,1.07858e-17
42.00,0,1.07582e-17
43.00,0,1.07369e-17
44.00,0,1.07312e-17
45.00,0,1.07357e-17
46.00,0,1.07281e-17
47.00,0,1.07334e-17
48.00,0,1.07477e-17
49.00,0,1.07682e-17
50.00,0,1.07705e-17
51.00,0,1.07903e-17
52.00,0,1.08049e-17
53.00,0,1.08420e-17
54.00,0,5.54180e-17
55.00,186,5.76040e-17
56.00,363,4.47133e-17
57.00,389,4.32471e-18
58.00,389,4.72273e-18
59.00,389,5.35209e-18
60.00,389,6.67756e-18
61.00,389,6.67433e-18
62.00,389,8.23604e-18
63.00,389,7.88544e-18
64.00,389,8.31903e-18
65.00,389,7.87668e-18
66.00,389,7.40606e-18
67.00,389,5.94023e-18
68.00,389,5.82521e-18
69.00,389,6.02043e-18
70.00,389,5.40839e-18
71.00,389,5.36694e-18
72.00,389,5.67571e-18
73.00,389,5.93351e-18
74.00,389,6.27173e-18
75.00,389,7.18235e-18
76.00,389,7.85876e-18
77.00,389,8.15195e-18
78.00,389,8.48091e-18
79.00,389,8.90260e-18
80.00,389,8.95633e-18
81.00,389,9.27586e-18
82.00,389,9.61661e-18
83.00,389,9.68960e-18
84.00,389,1.01062e-17
85.00,389,1.02750e-17
86.00,389,1.04944e-17
87.00,389,1.05974e-17
88.00,389,1.06489e-17
89.00,389,1.04380e-17
90.00,389,1.09950e-17
91.00,389,1.08491e-17
92.00,389,1.09188e-17
93.00,389,1.11436e-17
94.00,389,1.15452e-17
95.00,389,1.14577e-17
96.00,389,1.15539e-17
97.00,389,1.17021e-17
98.00,389,1.19484e-17
99.00,389,1.18357e-17
100.00,389,1.17895e-17
101.00,389,1.22819e-17
102.00,389,1.21846e-17
103.00,389,1.23486e-17
104.00,389,1.20303e-17
105.00,389,1.23342e-17
106.00,389,1.21263e-17
107.00,389,1.23408e-17
108.00,389,1.25243e-17
109.00,389,1.24766e-17
110.00,389,1.23602e-17
111.00,389,1.21452e-17
112.00,389,1.24625e-17
113.00,389,1.23273e-17
114.00,389,1.23976e-17
115.00,389,1.26746e-17
116.00,389,1.26161e-17
117.00,389,1.25987e-17
118.00,389,1.26578e-17
119.00,389,1.26038e-17
120.00,389,1.27189e-17
121.00,389,1.25124e-17
122.00,389,1.28860e-17
123.00,389,1.26213e-17
124.00,389,1.27860e-17
125.00,389,1.26274e-17
126.00,389,1.26867e-17
127.00,389,1.28123e-17
128.00,389,1.26784e-17
129.00,389,1.25662e-17
130.00,389,1.28206e-17
131.00,389,1.26312e-17
132.00,389,1.27674e-17
133.00,389,1.30260e-17
134.00,389,1.27531e-17
135.00,389,1.26166e-17
136.00,389,1.28815e-17
137.00,389,1.30002e-17
138.00,389,1.28044e-17
139.00,389,1.26200e-17
140.00,389,1.26516e-17
141.00,389,1.26050e-17
142.00,389,1.29344e-17
143.00,389,1.30455e-17
144.00,389,1.26336e-17
145.00,389,1.28946e-17
146.00,389,1.28304e-17
147.00,389,1.27371e-17
148.00,389,1.26875e-17
149.00,389,1.27208e-17
150.00,389,1.24526e-17
151.00,389,1.25878e-17
152.00,389,1.28016e-17
153.00,389,1.27624e-17
154.00,389,1.26769e-17
155.00,389,1.28647e-17
156.00,389,1.26999e-17
157.00,389,1.28112e-17
158.00,389,1.27294e-17
159.00,389,1.23877e-17
160.00,389,1.28992e-17
161.00,389,1.25394e-17
162.00,389,1.26965e-17
163.00,389,1.25795e-17
164.00,389,1.25860e-17
165.00,389,1.25000e-17
166.00,389,1.24182e-17
167.00,389,1.23750e-17
168.00,389,1.28816e-17
169.00,389,1.23724e-17
170.00,389,1.26769e-17
171.00,389,1.25686e-17
172.00,389,1.23357e-17
173.00,389,1.24709e-17
174.00,389,1.26666e-17
175.00,389,1.26550e-17
176.00,389,1.25686e-17
177.00,389,1.19965e-17
178.00,389,1.24468e-17
179.00,389,1.27902e-17
180.00,389,1.22694e-17
181.00,389,1.22110e-17
182.00,389,1.24454e-17
183.00,389,1.21268e-17
184.00,389,1.21751e-17
185.00,389,1.21780e-17
186.00,389,1.24660e-17
187.00,389,1.22322e-17
188.00,389,1.20571e-17
189.00,389,1.22562e-17
190.00,389,1.23713e-17
191.00,389,1.23703e-17
192.00,389,1.20937e-17
193.00,389,1.22383e-17
194.00,389,1.22962e-17
195.00,389,1.20693e-17
196.00,389,1.21001e-17
197.00,389,1.20271e-17
198.00,389,1.21140e-17
199.00,389,1.21996e-17
200.00,389,1.20539e-17
