# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 50000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [10, 10, 0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.00,0,3.12554e-17
0.50,0,8.72867e-18
1.00,0,8.39779e-18
1.50,0,8.89913e-18
2.00,0,8.90704e-18
2.50,0,9.02543e-18
3.00,0,9.50075e-18
3.50,0,9.36564e-18
4.00,0,9.41174e-18
4.50,0,9.59512e-18
5.00,0,9.60175e-18
5.50,0,9.74610e-18
6.00,0,9.90456e-18
6.50,0,9.98486e-18
7.00,0,1.00823e-17
7.50,0,1.02045e-17
8.00,0,1.03693e-17
8.50,0,1.04509e-17
9.00,0,1.04608e-17
9.50,0,1.04703e-17
10.00,0,1.04726e-17
10.50,0,1.05289e-17
11.00,0,1.06059e-17
11.50,0,1.06342e-17
12.00,0,1.05971e-17
12.50,0,1.05477e-17
13.00,0,1.05277e-17
13.50,0,1.05822e-17
14.00,0,1.05875e-17
14.50,0,1.06278e-17
15.00,0,1.06509e-17
15.50,0,1.06971e-17
16.00,0,1.07287e-17
16.50,0,1.07506e-17
17.00,0,1.07660e-17
17.50,0,1.07702e-17
18.00,0,1.07708e-17
18.50,0,1.07685e-17
19.00,0,2.30378e-17
19.50,0,2.09463e-17
20.00,0,1.14791e-17
20.50,0,7.75589e-18
21.00,0,6.10526e-18
21.50,0,5.11639e-18
22.00,0,4.61360e-18
22.50,0,4.31613e-18
23.00,0,4.21468e-18
23.50,0,4.10723e-18
24.00,0,4.06219e-18
24.50,0,4.11656e-18
25.00,0,4.12808e-18
25.50,0,4.22051e-18
26.00,0,4.28482e-18
26.50,0,4.34025e-18
27.00,0,4.40467e-18
27.50,0,4.45043e-18
28.00,0,4.51184e-18
28.50,0,4.57972e-18
29.00,0,4.66778e-18
29.50,0,4.77398e-18
30.00,0,4.87818e-18
30.50,0,5.00135e-18
31.00,0,5.12523e-18
31.50,0,5.29066e-18
32.00,0,5.50702e-18
32.50,0,5.66242e-18
33.00,0,5.72830e-18
33.50,0,5.79588e-18
34.00,0,5.80621e-18
34.50,0,5.80394e-18
35.00,0,5.74321e-18
35.50,0,5.65795e-18
36.00,0,5.54018e-18
36.50,0,5.40494e-18
37.00,0,5.28408e-18
37.50,0,5.17215e-18
38.00,0,5.06109e-18
38.50,0,4.93103e-18
39.00,0,4.86034e-18
39.50,0,4.83870e-18
40.00,0,4.84114e-18
40.50,0,4.84450e-18
41.00,0,4.85683e-18
41.50,0,4.90532e-18
42.00,0,4.99074e-18
42.50,0,5.05066e-18
43.00,0,5.13557e-18
43.50,0,5.19432e-18
44.00,0,5.24989e-18
44.50,0,5.36314e-18
45.00,0,5.43573e-18
45.50,0,5.50937e-18
46.00,0,5.56219e-18
46.50,0,5.53149e-18
47.00,0,5.48171e-18
47.50,0,5.38984e-18
48.00,0,5.29716e-18
48.50,0,5.19625e-18
49.00,0,5.12796e-18
49.50,0,5.05521e-18
50.00,0,4.97366e-18
