# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 99999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 50000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3.20462, 2.78036, 0.0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.00,0,3.12554e-17
1.00,0,8.39779e-18
2.00,0,8.90693e-18
3.00,0,9.50074e-18
4.00,0,9.41160e-18
5.00,0,9.60202e-18
6.00,0,9.90304e-18
7.00,0,1.00972e-17
8.00,0,1.03429e-17
9.00,0,1.04141e-17
10.00,0,1.05095e-17
11.00,0,1.06350e-17
12.00,0,1.06711e-17
13.00,0,1.06638e-17
14.00,0,1.05871e-17
15.00,0,1.06753e-17
16.00,0,1.06840e-17
17.00,0,1.06121e-17
18.00,0,1.06355e-17
19.00,0,1.06653e-17
20.00,0,1.06840e-17
21.00,0,1.06943e-17
22.00,0,1.07210e-17
23.00,0,1.07430e-17
24.00,0,1.07467e-17
25.00,0,1.07667e-17
26.00,0,1.07892e-17
27.00,0,1.07754e-17
28.00,0,1.07773e-17
29.00,0,1.07668e-17
30.00,0,1.07612e-17
31.00,0,1.07736e-17
32.00,0,1.07896e-17
33.00,0,1.07884e-17
34.00,0,1.07734e-17
35.00,0,1.07981e-17
36.00,0,1.08228e-17
37.00,0,1.08305e-17
38.00,0,1.08585e-17
39.00,0,1.08589e-17
40.00,0,1.08617e-17
41.00,0,1.08472e-17
42.00,0,1.08296e-17
43.00,0,1.08188e-17
44.00,0,1.08075e-17
45.00,0,1.08194e-17
46.00,0,1.08149e-17
47.00,0,1.08156e-17
48.00,0,1.08098e-17
49.00,0,1.08059e-17
50.00,0,1.08054e-17
51.00,0,1.08087e-17
52.00,0,1.08095e-17
53.00,0,1.08553e-17
54.00,0,1.10229e-17
55.00,0,2.05502e-17
56.00,0,5.47898e-18
57.00,0,3.40461e-18
58.00,0,2.79288e-18
59.00,0,2.58681e-18
60.00,0,2.61573e-18
61.00,0,2.65998e-18
62.00,0,2.78630e-18
63.00,0,2.84359e-18
64.00,0,2.86298e-18
65.00,0,2.93026e-18
66.00,0,2.90473e-18
67.00,0,2.89207e-18
68.00,0,2.93019e-18
69.00,0,2.98772e-18
70.00,0,3.08717e-18
71.00,0,5.38907e-18
72.00,0,1.55268e-17
73.00,0,1.88132e-17
74.00,0,1.04422e-17
75.00,0,7.58606e-18
76.00,0,7.88318e-18
77.00,0,7.91761e-18
78.00,0,9.04367e-18
79.00,0,9.32853e-18
80.00,0,9.64431e-18
81.00,0,1.02684e-17
82.00,0,1.02839e-17
83.00,0,1.02061e-17
84.00,0,1.02199e-17
85.00,0,1.05583e-17
86.00,0,1.13016e-17
87.00,0,1.07796e-17
88.00,0,1.06658e-17
89.00,0,1.07454e-17
90.00,0,1.06186e-17
91.00,0,1.10005e-17
92.00,0,1.11192e-17
93.00,0,1.12474e-17
94.00,0,1.12252e-17
95.00,0,1.14445e-17
96.00,0,1.18581e-17
97.00,0,1.18618e-17
98.00,0,1.16899e-17
99.00,0,1.15026e-17
100.00,0,1.12227e-17
101.00,0,1.21727e-17
102.00,0,1.22879e-17
103.00,0,1.24233e-17
104.00,0,1.15498e-17
105.00,0,1.25731e-17
106.00,0,1.21260e-17
107.00,0,1.23434e-17
108.00,0,1.20534e-17
109.00,0,1.16754e-17
110.00,0,1.26430e-17
111.00,0,1.25957e-17
112.00,0,1.25859e-17
113.00,0,1.26464e-17
114.00,0,1.22734e-17
115.00,0,1.25740e-17
116.00,0,1.23421e-17
117.00,0,1.24481e-17
118.00,0,1.20575e-17
119.00,0,1.26757e-17
120.00,0,1.22517e-17
121.00,0,1.25591e-17
122.00,0,1.22663e-17
123.00,0,1.28973e-17
124.00,0,1.24528e-17
125.00,0,1.31212e-17
126.00,0,1.33709e-17
127.00,0,1.29183e-17
128.00,0,1.31776e-17
129.00,0,1.31853e-17
130.00,0,1.31954e-17
131.00,0,1.29978e-17
132.00,0,1.29444e-17
133.00,0,1.34564e-17
134.00,0,1.32102e-17
135.00,0,1.32656e-17
136.00,0,1.30504e-17
137.00,0,1.37554e-17
138.00,0,1.28562e-17
139.00,0,1.29066e-17
140.00,0,1.32692e-17
141.00,0,1.34522e-17
142.00,0,1.33051e-17
143.00,0,1.30378e-17
144.00,0,1.37103e-17
145.00,0,1.38248e-17
146.00,0,1.41416e-17
147.00,0,1.31339e-17
148.00,0,1.37576e-17
149.00,0,1.41128e-17
150.00,0,1.38149e-17
151.00,0,1.38420e-17
152.00,0,1.34127e-17
153.00,0,1.41690e-17
154.00,0,1.40065e-17
155.00,0,1.34667e-17
156.00,0,1.42873e-17
157.00,0,1.39077e-17
158.00,0,1.38920e-17
159.00,0,1.31507e-17
160.00,0,1.39175e-17
161.00,0,1.38230e-17
162.00,0,1.38924e-17
163.00,0,1.38216e-17
164.00,0,1.40369e-17
165.00,0,1.40065e-17
166.00,0,1.34078e-17
167.00,0,1.39057e-17
168.00,0,1.37585e-17
169.00,0,1.37233e-17
170.00,0,1.38021e-17
171.00,0,1.42759e-17
172.00,0,1.37533e-17
173.00,0,1.36177e-17
174.00,0,1.36944e-17
175.00,0,1.38722e-17
176.00,0,1.39405e-17
177.00,0,1.34975e-17
178.00,0,1.35391e-17
179.00,0,1.43473e-17
180.00,0,1.35068e-17
181.00,0,1.33913e-17
182.00,0,1.38054e-17
183.00,0,1.37370e-17
184.00,0,1.40521e-17
185.00,0,1.38165e-17
186.00,0,1.39154e-17
187.00,0,1.37188e-17
188.00,0,1.41938e-17
189.00,0,1.34295e-17
190.00,0,1.40892e-17
191.00,0,1.40128e-17
192.00,0,1.39984e-17
193.00,0,1.36294e-17
194.00,0,1.43071e-17
195.00,0,1.38723e-17
196.00,0,1.42299e-17
197.00,0,1.39966e-17
198.00,0,1.37883e-17
199.00,0,1.39100e-17
200.00,0,1.42395e-17
