# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 50000, total mass: 124999 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 50000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
# Jeans density of the cloud = 2.66053e-17 kg/m^3
0.00,12,2.39240e-17
1.00,12,9.97810e-18
2.00,12,1.00438e-17
3.00,12,1.05202e-17
4.00,12,1.08848e-17
5.00,12,1.11902e-17
6.00,12,1.13264e-17
7.00,12,1.14090e-17
8.00,12,1.15239e-17
9.00,12,1.15024e-17
10.00,12,1.15715e-17
11.00,12,1.16635e-17
12.00,12,1.16812e-17
13.00,12,1.15718e-17
14.00,12,1.16534e-17
15.00,12,1.16862e-17
16.00,12,1.17437e-17
17.00,12,1.17313e-17
18.00,12,1.17800e-17
19.00,12,1.18104e-17
20.00,12,1.17576e-17
21.00,12,1.18244e-17
22.00,12,1.18372e-17
23.00,12,1.18653e-17
24.00,12,1.19028e-17
25.00,12,1.19287e-17
26.00,12,1.19649e-17
27.00,12,1.19894e-17
28.00,12,1.20485e-17
29.00,12,1.20732e-17
30.00,12,1.20813e-17
31.00,12,1.21127e-17
32.00,12,1.21378e-17
33.00,12,1.21585e-17
34.00,12,1.22247e-17
35.00,12,1.22628e-17
36.00,12,1.22444e-17
37.00,12,1.22478e-17
38.00,12,1.22517e-17
39.00,12,1.22937e-17
40.00,12,1.23066e-17
41.00,12,1.23336e-17
42.00,12,1.23266e-17
43.00,12,1.23341e-17
44.00,12,1.23468e-17
45.00,12,1.23274e-17
46.00,12,1.23605e-17
47.00,12,1.23587e-17
48.00,12,1.23767e-17
49.00,12,1.23822e-17
50.00,12,1.24215e-17
51.00,12,1.24191e-17
52.00,12,1.24438e-17
53.00,12,1.29693e-17
54.00,12,2.66071e-17
55.00,13,2.90678e-17
56.00,72,3.11532e-17
57.00,127,3.24151e-17
58.00,178,2.93710e-17
59.00,192,4.27241e-18
60.00,192,4.50231e-18
61.00,192,4.60786e-18
62.00,192,4.81318e-18
63.00,192,4.91148e-18
64.00,192,4.61796e-18
65.00,192,2.13378e-17
66.00,192,2.85319e-17
67.00,209,2.95892e-17
68.00,239,9.57059e-18
69.00,239,9.03992e-18
70.00,239,1.01397e-17
71.00,239,1.10584e-17
72.00,239,1.16380e-17
73.00,239,1.23958e-17
74.00,239,1.21833e-17
75.00,239,1.25275e-17
76.00,239,1.29005e-17
77.00,239,1.33378e-17
78.00,239,1.37084e-17
79.00,239,1.33991e-17
80.00,239,1.45966e-17
81.00,239,1.41417e-17
82.00,239,1.47333e-17
83.00,239,1.44380e-17
84.00,239,1.53439e-17
85.00,239,1.46826e-17
86.00,239,1.54844e-17
87.00,239,1.54540e-17
88.00,239,1.60032e-17
89.00,239,1.57236e-17
90.00,239,1.58485e-17
91.00,239,1.56249e-17
92.00,239,1.60958e-17
93.00,239,1.61600e-17
94.00,239,1.60887e-17
95.00,239,1.62372e-17
96.00,239,1.66795e-17
97.00,239,1.69697e-17
98.00,239,1.63842e-17
99.00,239,1.71095e-17
100.00,239,1.68938e-17
101.00,239,1.72369e-17
102.00,239,1.79262e-17
103.00,239,1.76900e-17
104.00,239,1.73323e-17
105.00,239,1.75546e-17
106.00,239,1.77099e-17
107.00,239,1.79620e-17
108.00,239,1.74925e-17
109.00,239,1.76629e-17
110.00,239,1.79690e-17
111.00,239,1.78135e-17
112.00,239,1.81399e-17
113.00,239,1.79120e-17
114.00,239,1.84646e-17
115.00,239,1.79855e-17
116.00,239,1.83379e-17
117.00,239,1.86859e-17
118.00,239,1.85558e-17
119.00,239,1.84541e-17
120.00,239,1.83088e-17
121.00,239,1.86623e-17
122.00,239,1.81566e-17
123.00,239,1.75775e-17
124.00,239,1.78723e-17
125.00,239,1.83341e-17
126.00,239,1.85718e-17
127.00,239,1.84098e-17
128.00,239,1.83618e-17
129.00,239,1.84003e-17
130.00,239,1.81992e-17
131.00,239,1.87961e-17
132.00,239,1.80774e-17
133.00,239,1.80396e-17
134.00,239,1.87661e-17
135.00,239,1.84303e-17
136.00,239,1.82916e-17
137.00,239,1.81159e-17
138.00,239,1.85350e-17
139.00,239,1.78055e-17
140.00,239,1.82467e-17
141.00,239,1.77306e-17
142.00,239,1.78459e-17
143.00,239,1.81036e-17
144.00,239,1.84411e-17
145.00,239,1.84202e-17
146.00,239,1.77799e-17
147.00,239,1.78291e-17
148.00,239,1.85079e-17
149.00,239,1.77156e-17
150.00,239,1.77008e-17
151.00,239,1.80418e-17
152.00,239,1.79063e-17
153.00,239,1.76294e-17
154.00,239,1.82382e-17
155.00,239,1.75298e-17
156.00,239,1.79498e-17
157.00,239,1.79809e-17
158.00,239,1.82006e-17
159.00,239,1.80219e-17
160.00,239,1.79484e-17
161.00,239,1.77778e-17
162.00,239,1.77581e-17
163.00,239,1.77980e-17
164.00,239,1.80662e-17
165.00,239,1.81264e-17
166.00,239,1.82059e-17
167.00,239,1.78383e-17
168.00,239,1.77685e-17
169.00,239,1.80214e-17
170.00,239,1.81003e-17
171.00,239,1.78546e-17
172.00,239,1.72637e-17
173.00,239,1.84405e-17
174.00,239,1.74993e-17
175.00,239,1.81155e-17
176.00,239,1.81162e-17
177.00,239,1.79030e-17
