# Time, number of newly formed star, maxmium gas density (kg/m^3)
# Cloud: number of gas particles: 70000, total mass: 140000 MSun, virial radius: 10 pc;
# Cluster: number of stars: 10000, total mass: 50000 MSun, virial radius: 3 pc;
# Initial position of cluster: [-200, -200, 0] parsec; Initial velocity of cluster: [3, 3, 0] kms.
# Jeans density of the cloud = 4.15708e-17 kg/m^3
0.00,0,3.90678e-17
1.00,0,1.19656e-17
2.00,0,1.25099e-17
3.00,0,1.31458e-17
4.00,0,1.34026e-17
5.00,0,1.35779e-17
6.00,0,1.39144e-17
7.00,0,1.38451e-17
8.00,0,1.40041e-17
9.00,0,1.40629e-17
10.00,0,1.41242e-17
11.00,0,1.40539e-17
12.00,0,1.41344e-17
13.00,0,1.42448e-17
14.00,0,1.44479e-17
15.00,0,1.45332e-17
16.00,0,1.45791e-17
17.00,0,1.45398e-17
18.00,0,1.45872e-17
19.00,0,1.45269e-17
20.00,0,1.45917e-17
21.00,0,1.46452e-17
22.00,0,1.47011e-17
23.00,0,1.46927e-17
24.00,0,1.47426e-17
25.00,0,1.47104e-17
26.00,0,1.47044e-17
27.00,0,1.47121e-17
28.00,0,1.47098e-17
29.00,0,1.47290e-17
30.00,0,1.47498e-17
31.00,0,1.47237e-17
32.00,0,1.47794e-17
33.00,0,1.48743e-17
34.00,0,1.48830e-17
35.00,0,1.48967e-17
36.00,0,1.48805e-17
37.00,0,1.48888e-17
38.00,0,1.49451e-17
39.00,0,1.49551e-17
40.00,0,1.49527e-17
41.00,0,1.49982e-17
42.00,0,1.50326e-17
43.00,0,1.50258e-17
44.00,0,1.50151e-17
45.00,0,1.50318e-17
46.00,0,1.50424e-17
47.00,0,1.50265e-17
48.00,0,1.50148e-17
49.00,0,1.50198e-17
50.00,0,1.50256e-17
51.00,0,1.50653e-17
52.00,0,1.51137e-17
53.00,0,3.77102e-17
54.00,0,1.07105e-17
55.00,0,6.59392e-18
56.00,0,5.80574e-18
57.00,0,5.63286e-18
58.00,0,5.64488e-18
59.00,0,5.57038e-18
60.00,0,5.54910e-18
